episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,12,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.62,1,,0.142136,-0.377299,-0.528212,,0.142136,-0.377299,-0.528212,0.0,,,,,,,0.5710677579045296,0.31135067343711853,0.2358940839767456,,,,,
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.818135,0.794909,-0.020357,0.211351,-0.818135,0.794909,-0.020357,0.211351,0.09093225002288818,11,0.48982134740799665,0.6056754440069199,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.022727,-0.409452,-0.004165,,-0.022727,-0.409452,-0.004165,0.0,,,,,,,0.4886364536359906,0.29527392983436584,0.49791738274507225,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-1.0,1,,0.067883,-0.072774,-0.302781,-0.597318,0.067883,-0.072774,-0.302781,-0.597318,,,,,,,,,,0.5339416190981865,0.4636130817234516,152,0.20134082436561584,
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.576711,0.493044,0.150707,0.556706,-0.576711,0.493044,0.150707,0.556706,0.21164464950561523,9,0.5753537341952324,0.7783530056476593,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.111084,-0.896271,-0.631417,,0.111084,-0.896271,-0.631417,0.0,,,,,,,0.5555419251322746,0.1,0.18429145216941833,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,0.223981,-0.229545,-0.255,-0.211842,0.223981,-0.229545,-0.255,-0.211842,,,,,,,,,,0.6119903102517128,0.38522765785455704,199,0.3940792456269264,
3,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.817157,,,,-0.817157,0.0,0.0,0.0,,,,,,,,,,,,,,0.09142157435417175
3,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.961694,,,,-0.961694,0.0,0.0,0.0,,,,,,,,,,,,,,0.01915276050567627
3,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.511265,0.820071,0.489064,0.761233,-0.511265,0.820071,0.489064,0.761233,0.2443675994873047,11,0.7445317953824997,0.8806165158748627,,,,,,,,,,
3,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.04552,-1.0,-0.802099,,0.04552,-1.0,-0.802099,0.0,,,,,,,0.5227597616612911,0.1,0.09895065426826477,,,,,
3,8,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.098466,0.255607,-0.188148,-0.242887,-0.098466,0.255607,-0.188148,-0.242887,,,,,,,,,,0.4507668800652027,0.6278037279844284,202,0.3785562887787819,
3,9,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.926687,,,,-0.926687,0.0,0.0,0.0,,,,,,,,,,,,,,0.03665664792060852
3,10,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
3,11,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.282172,1.0,0.589891,1.0,-0.282172,1.0,0.589891,1.0,0.3589140325784683,12,0.7949452996253967,1.0,,,,,,,,,,
3,12,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.67,1,,-0.606859,-0.926777,-0.736251,,-0.606859,-0.926777,-0.736251,0.0,,,,,,,0.19657063484191895,0.1,0.13187441229820251,,,,,
