episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,12,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.6168,1,,0.325501,-0.015925,-0.240247,,0.325501,-0.015925,-0.240247,0.0,,,,,,,0.6627504676580429,0.4920373149216175,0.37987643480300903,,,,,
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.695837,0.74324,0.076421,0.184093,-0.695837,0.74324,0.076421,0.184093,0.15208154916763306,10,0.5382106266915798,0.5920465216040611,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.202147,-0.068303,-0.413068,,0.202147,-0.068303,-0.413068,0.0,,,,,,,0.601073645055294,0.465848620980978,0.29346609115600586,,,,,
2,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-1.0,1,,-0.103794,0.501017,0.472911,0.480533,-0.103794,0.501017,0.472911,0.480533,,,,,,,,,,0.44810323417186737,0.750508576631546,976,0.7402664870023727,
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.350831,0.452289,0.284392,0.587398,-0.350831,0.452289,0.284392,0.587398,0.3245844095945358,9,0.6421959847211838,0.7936991453170776,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.500292,-0.20215,-0.29736,,0.500292,-0.20215,-0.29736,0.0,,,,,,,0.7501460909843445,0.3989250659942627,0.35132013261318207,,,,,
3,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-0.07,0,verifier,-0.319977,0.320457,0.404614,0.624906,-0.319977,0.320457,0.404614,0.624906,,,,,,,,,,0.340011402964592,0.6602282524108887,993,0.8124527931213379,
3,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.786305,,,,-0.786305,0.0,0.0,0.0,,,,,,,,,,,,,,0.1068473756313324
3,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.943632,,,,-0.943632,0.0,0.0,0.0,,,,,,,,,,,,,,0.02818399667739868
3,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.131901,0.843104,0.641696,0.847571,-0.131901,0.843104,0.641696,0.847571,0.43404972553253174,11,0.8208478689193726,0.9237856268882751,,,,,,,,,,
3,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.524456,-0.624822,-0.359551,,0.524456,-0.624822,-0.359551,0.0,,,,,,,0.7622279226779938,0.1875891387462616,0.3202246278524399,,,,,
3,8,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_with_strict_citations,-1.0,1,,-0.47002,0.79663,0.519345,0.801964,-0.47002,0.79663,0.519345,0.801964,,,,,,,,,,0.2649899572134018,0.8983152210712433,1024,0.9009821116924286,
